molecular formula,Altamaha_PP48_000107-2_p08
C8H10O6,2892020.8
C9H14O5,3740664.5
C10H18O4,2623484.0
C11H8O4,1189547.9
C8H12O6,2572717.8
C12H12O3,1315246.9
C9H16O5,2011312.8
C10H6O5,1359815.6
C11H10O4,3753802.3
C8H14O4S,1275338.5
C12H14O3,1625420.9
C10H8O5,3459023.5
C11H12O4,3941329.8
C12H16O3,2150868.0
C9H6O6,1450306.3
C10H10O5,5274692.0
C11H14O4,3971142.3
C10H13O4N,1146873.9
C9H8O6,2879144.0
C10H12O5,7996585.5
C11H16O4,3270827.5
C9H11O5N,1854167.3
C9H10O6,8195330.0
C10H14O5,9635076.0
C11H18O4,1747973.1
C8H8O5S,2137426.3
C8H8O7,1504851.0
C9H12O6,9989460.0
C10H16O5,5989718.0
C11H20O4,1823831.3
C8H10O7,1913505.4
C12H10O4,2179234.0
C9H14O4S,1715874.1
C9H14O6,4112290.8
C13H14O3,1316643.4
C10H18O5,2229156.3
C11H8O5,2307822.8
C12H12O4,3196400.3
C13H16O3,1406705.6
C11H11O4N,1153559.9
C10H6O6,1630527.0
C11H10O5,5059136.5
C12H14O4,12955202.0
C14H22O2,1777733.1
C10H9O5N,1600875.4
C11H13O4N,1165421.0
C10H8O6,4256920.0
C11H12O5,9302682.0
C12H16O4,4566171.5
C10H11O5N,1338441.6
C9H6O7,1587194.3
C10H10O6,9268988.0
C11H14O5,12375806.0
C12H18O4,4175616.0
C10H13O5N,1651509.0
C9H8O7,2585453.0
C10H12O6,15085423.0
C11H16O5,9991026.0
C12H20O4,2220915.8
C9H10O5S,1558769.3
C9H10O7,4664306.5
C13H10O4,1331955.6
C10H14O6,12330997.0
C11H18O5,2930167.8
C12H22O4,1433850.4
C12H8O5,1779340.9
C9H12O5S,2191757.0
C9H12O7,4654222.5
C13H12O4,2808463.8
C10H16O6,5027473.5
C11H20O5,1238676.8
C11H6O6,1765695.3
C12H10O5,4455747.0
C9H14O5S,1604419.1
C9H14O7,1589572.8
C13H14O4,4896582.5
C10H18O6,1245768.4
C14H18O3,1649225.9
C15H22O2,5610829.5
C11H8O6,5575184.0
C12H12O5,10097172.0
C11H12O4N2,1252629.5
C13H16O4,5291544.5
C14H20O3,1663516.4
C11H11O5N,1808517.8
C10H6O7,1812471.8
C11H10O6,10357500.0
C12H14O5,12405505.0
C13H18O4,6149893.5
C11H13O5N,2058623.4
C10H8O5S,1273211.5
C10H8O7,3919358.0
C11H12O6,13845507.0
C12H16O5,13114376.0
C13H20O4,12571661.0
C10H11O6N,1430414.1
C11H15O5N,1426835.4
C10H10O5S,1571099.4
C10H10O7,8268062.0
C11H14O6,15752483.0
C12H18O5,6972713.0
C13H22O4,1408558.3
C10H13O6N,2000827.3
C12H21O4N,2595014.5
C13H25O3N,2139852.3
C13H8O5,1193172.0
C10H12O5S,1831508.6
C10H12O7,16105047.0
C14H12O4,1321305.9
C11H16O6,13723229.0
C12H20O5,3413603.3
C13H24O4,1725161.1
C9H10O6S,1374496.4
C9H10O8,2263459.5
C13H10O5,3754918.0
C10H14O5S,4736934.5
C10H14O7,10241962.0
C14H14O4,2941356.5
C11H18O6,7086000.0
C12H22O5,2078646.4
C11H21O5N,1333606.9
C12H8O6,4686089.5
C9H12O6S,1965578.3
C9H12O8,1357837.6
C13H12O5,8127760.5
C10H16O5S,1379089.1
C10H16O7,3090196.3
C14H16O4,5072151.0
C11H20O6,1324827.1
C15H20O3,1754142.0
C12H11O5N,1618636.1
C11H6O7,1874052.1
C12H10O6,11946635.0
C9H14O6S,1674892.0
C13H14O5,11457171.0
C10H18O5S,1506195.3
C14H18O4,5980825.5
C15H22O3,1965984.9
C11H9O6N,1332818.4
C12H13O5N,1737817.8
C14H21O3N,1450600.5
C11H8O7,5403676.5
C12H12O6,12858404.0
C13H16O5,11383852.0
C10H20O5S,1246636.5
C14H20O4,4978739.5
C11H11O6N,1913334.5
C12H15O5N,1415678.3
C14H6OS2,1416127.3
C10H6O8,1225155.8
C11H10O7,10171852.0
C12H14O6,17948116.0
C13H18O5,12527068.0
C14H22O4,3583459.8
C10H9O7N,1280936.8
C11H13O6N,2631857.0
C11H12O5S,2069900.8
C11H12O7,19603344.0
C15H12O4,1226132.4
C12H16O6,23224218.0
C13H20O5,7794593.5
C16H32O2,2393018.8
C10H11O7N,1424760.5
C11H15O6N,1630721.1
C10H10O6S,1337950.5
C10H10O8,8498531.0
C14H10O5,2791782.5
C11H14O5S,2272615.3
C11H14O7,27021676.0
C15H14O4,2624879.3
C12H18O6,16699764.0
C13H22O5,3573117.0
C14H26O4,1848197.8
C13H8O6,2920780.8
C10H12O6S,2408013.5
C10H12O8,13202258.0
C14H12O5,4997974.0
C11H16O5S,1813846.6
C11H16O7,13667163.0
C15H16O4,2686815.0
C12H20O6,5786468.5
C13H24O5,1300845.4
C12H6O7,1332550.6
C9H10O7S,1227847.6
C13H10O6,9829712.0
C10H14O6S,2620241.0
C10H14O8,5379413.5
C14H14O5,8862042.0
C11H18O7,3266911.3
C15H18O4,5277027.0
C12H22O6,2125928.8
C12H9O6N,1411670.0
C13H13O5N,1567583.6
C12H8O7,5465949.5
C9H12O7S,1547358.5
C13H12O6,14243687.0
C10H16O6S,1710952.4
C14H16O5,11288433.0
C15H20O4,5579643.0
C12H11O6N,2318711.0
C13H15O5N,1944704.9
C11H6O8,1202941.8
C12H10O7,12247432.0
C11H10O6N2,1330827.0
C13H14O6,16703890.0
C12H14O5N2,1661845.3
C14H18O5,13455772.0
C15H22O4,5420454.5
C12H26O4S,10408359.0
C11H9O7N,1498016.5
C12H13O6N,2617514.8
C13H17O5N,1655989.3
C13H21O3N3,1331138.9
C11H8O8,4719546.5
C12H12O5S,1616575.8
C12H12O7,19536836.0
C13H16O6,27208656.0
C14H20O5,12891098.0
C15H24O4,2733540.5
C11H11O7N,1696486.6
C12H15O6N,2423025.3
C11H10O6S,2083332.0
C11H10O8,12269065.0
C15H10O5,1220493.9
C12H14O5S,2704398.8
C12H14O7,34987540.0
C13H18O6,28986910.0
C14H22O5,8052266.0
C10H9O6NS,1522734.3
C11H13O7N,2707774.5
C12H17O6N,1522249.6
C10H8O9,1211102.8
C14H8O6,1895011.4
C11H12O6S,3104356.5
C11H12O8,31088746.0
C15H12O5,2983022.5
C12H16O5S,3022447.5
C12H16O7,37904500.0
C16H16O4,1368697.6
C13H20O6,15020160.0
C14H24O5,2395275.3
C15H28O4,1281686.5
C14H11O5N,1325217.4
C11H15O7N,2317736.0
C13H6O7,1487305.4
C10H10O7S,1854666.4
C10H10O9,3163344.0
C10H14O3N2S2,1232467.8
C14H10O6,6211285.0
C11H14O6S,3032277.8
C11H14O8,28021468.0
C15H14O5,5543648.0
C12H18O5S,1221089.4
C12H18O7,17740518.0
C16H18O4,2831083.8
C13H22O6,4902642.5
C13H9O6N,1955343.8
C14H13O5N,1529883.4
C13H8O7,5838155.0
C10H12O7S,2709324.3
C10H12O9,2750801.8
C14H12O6,12125527.0
C11H16O6S,3198295.8
C11H16O8,9069918.0
C15H16O5,8959330.0
C12H20O7,4159849.3
C16H20O4,2995566.3
C17H24O3,1233018.0
C13H11O6N,2787481.8
C10H15O8N,1356960.6
C14H15O5N,1903525.6
C12H6O8,1329360.6
C13H10O7,12503005.0
C10H14O7S,2649053.8
C14H14O6,16873448.0
C13H14O5N2,1432556.4
C11H18O8,1298415.6
C15H18O5,11948021.0
C16H22O4,4942849.0
C14H30O3S,1598477.9
C12H9O7N,1696295.1
C13H13O6N,2633011.3
C14H17O5N,1222207.5
C12H8O8,4301937.5
C13H12O7,19212926.0
C10H16O7S,1348478.9
C12H12O6N2,1380481.5
C14H16O6,22948490.0
C15H20O5,16589462.0
C16H24O4,1455010.6
C12H11O7N,2538959.8
C13H15O6N,2778588.0
C12H10O6S,1297819.0
C12H10O8,11773217.0
C13H14O7,27852078.0
C12H14O6N2,1383985.6
C14H18O6,28368186.0
C15H22O5,13747527.0
C12H13O7N,3152006.8
C13H17O6N,2776211.5
C11H8O9,2229714.5
C12H12O6S,2465241.0
C12H12O8,28028896.0
C16H12O5,2000612.5
C13H16O5S,2674661.8
C13H16O7,45158380.0
C14H20O6,26783736.0
C15H24O5,6466565.5
C18H36O2,2623020.0
C11H11O8N,1953343.0
C12H15O7N,3520331.8
C13H19O6N,1336408.8
C11H10O7S,1676695.6
C11H10O9,7517854.0
C15H10O6,3419811.5
C12H14O6S,2336420.5
C12H14O8,47960748.0
C16H14O5,3049136.5
C13H18O5S,3167409.8
C13H18O7,40817336.0
C14H22O6,12153541.0
C15H26O5,1995986.1
C16H30O4,1502687.1
C11H13O8N,1945361.3
C12H17O7N,2315806.5
C14H8O7,2490734.8
C11H12O7S,2807664.0
C11H12O9,17818998.0
C15H12O6,6388092.0
C12H16O6S,3100541.5
C12H16O8,37082500.0
C16H16O5,4822409.5
C13H20O5S,1340426.6
C13H20O7,14701969.0
C17H20O4,1808534.6
C14H24O6,3656094.5
C15H28O5,2073515.6
C14H11O6N,2665704.5
C11H15O8N,1284400.3
C15H15O5N,1278709.9
C13H23O6N,1425163.0
C14H10O7,11513940.0
C11H14O7S,3197524.8
C11H14O9,12234843.0
C15H14O6,12863585.0
C12H18O6S,2323042.3
C14H14O5N2,1246053.1
C12H18O8,10440809.0
C16H18O5,8396910.0
C13H22O7,3619958.3
C17H22O4,2446460.0
C13H9O7N,2218949.3
C14H13O6N,3533779.0
C15H17O5N,1604064.5
C13H8O8,6016821.5
C10H12O8S,1770038.8
C14H12O7,19393348.0
C11H16O7S,2953540.3
C13H12O6N2,1521479.4
C11H16O9,2698059.0
C15H16O6,19921744.0
C14H16O5N2,1649493.0
C16H20O5,9714526.0
C17H24O4,2457964.0
C15H32O3S,1367931.0
C13H11O7N,2240697.8
C10H15O9N,1275585.9
C14H15O6N,3448007.5
C15H19O5N,1699797.4
C13H10O8,13794863.0
C10H14O8S,2220079.8
C14H14O7,25734716.0
C13H14O6N2,2359360.8
C15H18O6,27504202.0
C16H22O5,8732248.0
C17H26O4,125427304.0
C14H30O4S,5343847.0
C13H13O7N,3700663.5
C14H17O6N,3277765.3
C15H21O5N,1361107.3
C11H4O6S2,1558534.6
C12H8O9,3092258.0
C13H12O8,23478576.0
C14H16O5S,1600311.3
C14H16O7,38814016.0
C13H16O6N2,1708866.4
C15H20O6,34373964.0
C16H24O5,4447578.0
C12H11O8N,1881262.9
C13H15O7N,4019900.8
C14H19O6N,1434314.9
C12H10O7S,1747492.0
C12H10O9,9286699.0
C13H14O6S,1757234.1
C13H14O8,38183992.0
C14H18O5S,2445888.3
C14H18O7,47465544.0
C15H22O6,22156374.0
C16H26O3S,22623324.0
C16H26O5,2045027.3
C12H13O8N,3077051.0
C13H17O7N,3620809.0
C17H21O2N3,4298209.5
C15H8O7,1885745.5
C12H12O7S,2829106.8
C12H12O9,24774458.0
C16H12O6,3864383.8
C13H16O6S,2399553.0
C13H16O8,57812808.0
C12H16O7N2,1652556.4
C17H16O5,2346830.0
C14H20O5S,2520399.3
C14H20O7,36964184.0
C15H24O6,9394020.0
C16H28O5,2120818.5
C17H32O4,1672576.8
C12H15O8N,3444940.5
C13H19O7N,2111450.8
